date,cpi_inflation_yoy
2013-01-01,10.32
2013-02-01,10.11
2013-03-01,10.24
2013-04-01,10.4
2013-05-01,9.9
2013-06-01,9.84
2013-07-01,10.29
2013-08-01,10.09
2013-09-01,9.78
2013-10-01,10.04
2013-11-01,9.78
2013-12-01,9.78
2014-01-01,9.53
2014-02-01,8.56
2014-03-01,8.17
2014-04-01,8.03
2014-05-01,7.48
2014-06-01,7.38
2014-07-01,6.57
2014-08-01,5.95
2014-09-01,6.17
2014-10-01,5.24
2014-11-01,4.82
2014-12-01,3.94
2015-01-01,4.35
2015-02-01,4.69
2015-03-01,4.56
2015-04-01,5.13
2015-05-01,5.07
2015-06-01,5.33
2015-07-01,5.28
2015-08-01,5.93
2015-09-01,5.5
2015-10-01,5.27
2015-11-01,5.77
2015-12-01,5.29
2016-01-01,5.69
2016-02-01,5.18
2016-03-01,5.37
2016-04-01,5.78
2016-05-01,5.95
2016-06-01,5.84
2016-07-01,5.37
2016-08-01,4.92
2016-09-01,4.23
2016-10-01,4.02
2016-11-01,3.68
2016-12-01,3.66
2017-01-01,3.17
2017-02-01,2.33
2017-03-01,2.53
2017-04-01,2.04
2017-05-01,1.65
2017-06-01,1.65
2017-07-01,2.37
2017-08-01,2.97
2017-09-01,3.14
2017-10-01,3.89
2017-11-01,4.67
2017-12-01,5.44
2018-01-01,5.05
2018-02-01,5.09
2018-03-01,4.82
2018-04-01,4.77
2018-05-01,5.24
2018-06-01,5.34
2018-07-01,4.52
2018-08-01,4.32
2018-09-01,3.69
2018-10-01,2.97
2018-11-01,2.76
2018-12-01,2.58
2019-01-01,2.36
2019-02-01,2.92
2019-03-01,2.05
2019-04-01,3.07
2019-05-01,3.06
2019-06-01,3.13
2019-07-01,3.92
2019-08-01,4.1
2019-09-01,5.25
2019-10-01,6.09
2019-11-01,7.07
2019-12-01,7.27
2020-01-01,7.0
2020-02-01,6.87
2020-03-01,7.03
2020-04-01,6.68
2020-05-01,6.27
2020-06-01,6.33
2020-07-01,6.57
2020-08-01,7.14
2020-09-01,7.07
2020-10-01,7.52
2020-11-01,6.0
2020-12-01,4.23
2021-01-01,4.96
2021-02-01,5.23
2021-03-01,5.45
2021-04-01,5.67
2021-05-01,5.66
2021-06-01,6.19
2021-07-01,6.11
2021-08-01,5.9
2021-09-01,5.96
2021-10-01,6.0
2021-11-01,6.27
2021-12-01,5.74
2022-01-01,6.29
2022-02-01,6.73
2022-03-01,6.8
2022-04-01,7.79
2022-05-01,7.42
2022-06-01,7.62
2022-07-01,6.74
2022-08-01,6.64
2022-09-01,6.34
2022-10-01,5.84
2022-11-01,6.2
2022-12-01,5.89
2023-01-01,6.14
2023-02-01,5.96
2023-03-01,6.78
2023-04-01,6.32
2023-05-01,7.06
2023-06-01,7.7
2023-07-01,7.15
2023-08-01,6.92
2023-09-01,6.74
2023-10-01,6.25
2023-11-01,5.65
2023-12-01,5.72
2024-01-01,5.33
2024-02-01,5.62
2024-03-01,5.17
2024-04-01,5.69
2024-05-01,5.0
2024-06-01,5.02
2024-07-01,5.32
2024-08-01,4.83
2024-09-01,5.21
2024-10-01,5.49
2024-11-01,4.78
2024-12-01,5.25
2025-01-01,4.86
2025-02-01,4.6
2025-03-01,3.69
2025-04-01,3.27
2025-05-01,3.33
2025-06-01,2.87
2025-07-01,2.78
2025-08-01,2.72
2025-09-01,2.38
2025-10-01,2.52
2025-11-01,2.46
2025-12-01,2.12
